,PROFIT_DIFF_1_z60_rolling_ic_size252,PROFIT_DIFF_1_z60_rolling_icir_size252,PROFIT_DIFF_1_z60_rolling_rankic_size252
2023-11-03,-0.005314183965159826,1.6822759338097326,0.001984929309971702
2023-11-06,-0.0043459574677918444,1.6712636324517438,0.004560013273115948
2023-11-07,-0.004418514489508696,1.6606489519660772,0.0018503260568021056
2023-11-08,-0.006907152408036102,1.6485880105837738,-0.0015803696716151722
2023-11-09,-0.010983817281994714,1.6315516528342928,-0.005700953939954613
2023-11-10,-0.013597928935828849,1.6139945784934424,-0.008804327551332734
2023-11-13,-0.01574853102208874,1.5954076001549338,-0.012432616356129893
2023-11-14,-0.013365020219545122,1.5795850924921127,-0.007187213816178229
2023-11-15,-0.013572755697056973,1.5636508838117429,-0.006941253554119023
2023-11-16,-0.018291353024997747,1.5447610304107313,-0.011061087943610722
2023-11-17,-0.014531970547245513,1.5281769760063135,-0.006934129705065479
2023-11-20,-0.010688980016164277,1.5137281873147674,-0.000987965381899402
2023-11-21,-0.010255981615256336,1.4997685754670878,0.00022683835144179815
2023-11-22,-0.03311697400829703,1.4728981903648213,-0.007952840119722282
2023-11-23,-0.0323448546783029,1.4473373199280075,-0.007031613955271871
2023-11-24,-0.011893559555625913,1.4342706792593911,0.005829183222918406
2023-11-27,-0.0166734764328891,1.4193675394374652,-0.002954147720677566
2023-11-28,-0.02880755652949242,1.3983421385392536,-0.014757615723552357
2023-11-29,-0.029678806041255872,1.3777580657374124,-0.014730995024457532
2023-11-30,-0.03494873551920139,1.3553020221560261,-0.020936992368366034
2023-12-01,-0.03566896302154751,1.3328968488138377,-0.021556017357176625
2023-12-04,-0.03156760703291659,1.31281602926403,-0.017729010657727976
2023-12-05,-0.029497044333660995,1.2939567783988661,-0.013966118599761223
2023-12-06,-0.027677974694813295,1.27673688277063,-0.01247123511678858
2023-12-07,-0.02719700648544944,1.2601245956267784,-0.011430403276123402
2023-12-08,-0.02266659633565359,1.2460525361863108,-0.0032750958675109207
2023-12-11,-0.021309624698579912,1.2338645123921224,-0.0008946054653555875
2023-12-12,-0.02217994055388111,1.2215363773825783,-0.0025255919591933096
2023-12-13,-0.005042291216411347,1.2151507648764381,0.012208777520079058
2023-12-14,-0.017978258624482855,1.204011150480194,0.0012616711613250425
2023-12-15,-0.030255406715945093,1.1890591421702987,-0.009532459912489712
2023-12-18,-0.024632530593829832,1.176675484552604,-0.0051846623532846026
